№,Время,Состояние,Название
0,0.0000,1,Ясно
1,4.8829,2,Облачно
2,5.8057,3,Пасмурно
3,6.2491,1,Ясно
4,7.6317,2,Облачно
5,8.1787,3,Пасмурно
6,8.3623,1,Ясно
7,18.3593,2,Облачно
8,19.6032,3,Пасмурно
9,20.6983,1,Ясно
10,23.3556,2,Облачно
11,23.4316,1,Ясно
12,23.6584,2,Облачно
13,24.2397,3,Пасмурно
14,25.3409,1,Ясно
15,26.8010,2,Облачно
16,28.1379,1,Ясно
17,29.1426,2,Облачно
18,29.9953,3,Пасмурно
19,31.5497,1,Ясно
20,31.7556,3,Пасмурно
21,32.8737,2,Облачно
22,34.0018,3,Пасмурно
23,34.6719,1,Ясно
24,37.6333,3,Пасмурно
25,40.5645,2,Облачно
26,43.6979,3,Пасмурно
27,43.8616,1,Ясно
28,46.0290,3,Пасмурно
29,46.8538,1,Ясно
30,48.3131,3,Пасмурно
31,49.7051,2,Облачно
32,50.8724,3,Пасмурно
33,51.0876,1,Ясно
34,52.3992,3,Пасмурно
35,52.4991,1,Ясно
36,52.9216,2,Облачно
37,54.5369,3,Пасмурно
38,55.9802,1,Ясно
39,59.6141,2,Облачно
40,59.9178,1,Ясно
41,60.3068,3,Пасмурно
42,60.5445,1,Ясно
43,61.7611,2,Облачно
44,61.8411,3,Пасмурно
45,62.5362,2,Облачно
46,63.1357,3,Пасмурно
47,66.1320,1,Ясно
48,66.6664,3,Пасмурно
49,69.7145,1,Ясно
50,71.6070,2,Облачно
51,71.9877,1,Ясно
52,72.1980,2,Облачно
53,77.8980,3,Пасмурно
54,78.7917,2,Облачно
55,79.1067,3,Пасмурно
56,79.2295,2,Облачно
57,82.5084,3,Пасмурно
58,82.6113,1,Ясно
59,84.9471,2,Облачно
60,85.1975,3,Пасмурно
61,86.4474,1,Ясно
62,89.4253,3,Пасмурно
63,90.2063,1,Ясно
64,91.2115,2,Облачно
65,92.4888,3,Пасмурно
66,94.6857,1,Ясно
67,97.2128,2,Облачно
